timestamp,Ax ,Ay ,Az ,Gx ,Gy ,Gz ,Mx ,My ,Mz
2021_11_18_08:12:00.730,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.79 ,0.67 ,19.14 ,23.00 ,34.75
2021_11_18_08:12:00.835,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-0.98 ,0.55 ,18.27 ,22.88 ,35.05
2021_11_18_08:12:00.909,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.79 ,0.49 ,19.24 ,22.94 ,35.75
2021_11_18_08:12:00.984,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.67 ,0.61 ,18.92 ,23.27 ,35.23
2021_11_18_08:12:01.059,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.85 ,0.55 ,18.58 ,23.10 ,34.14
2021_11_18_08:12:01.134,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.85 ,0.67 ,18.55 ,22.81 ,33.97
2021_11_18_08:12:01.194,-0.04 ,-0.23 ,-0.98 ,-0.61 ,-0.92 ,0.55 ,19.02 ,22.99 ,34.39
2021_11_18_08:12:01.269,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.98 ,0.49 ,18.29 ,22.38 ,35.28
2021_11_18_08:12:01.344,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.79 ,0.55 ,18.59 ,23.10 ,34.22
2021_11_18_08:12:01.419,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.85 ,0.43 ,19.62 ,22.46 ,34.64
2021_11_18_08:12:01.479,-0.04 ,-0.23 ,-0.98 ,-0.98 ,-0.92 ,0.55 ,19.30 ,23.46 ,34.56
2021_11_18_08:12:01.599,-0.04 ,-0.23 ,-0.98 ,-0.49 ,-0.98 ,0.49 ,18.47 ,22.53 ,35.02
2021_11_18_08:12:01.706,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.85 ,0.61 ,18.76 ,23.32 ,35.46
2021_11_18_08:12:01.779,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-1.04 ,0.61 ,18.84 ,23.22 ,34.16
2021_11_18_08:12:01.839,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-0.92 ,0.61 ,18.97 ,24.08 ,35.97
2021_11_18_08:12:01.960,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-0.98 ,0.49 ,18.68 ,23.27 ,34.57
2021_11_18_08:12:02.019,-0.04 ,-0.23 ,-0.98 ,-1.04 ,-0.85 ,0.61 ,18.68 ,23.27 ,34.57
2021_11_18_08:12:02.095,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.85 ,0.49 ,18.58 ,23.45 ,34.96
2021_11_18_08:12:02.154,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.92 ,0.55 ,19.20 ,23.07 ,35.38
2021_11_18_08:12:02.229,-0.04 ,-0.23 ,-0.98 ,-0.61 ,-0.92 ,0.67 ,19.17 ,23.22 ,34.92
2021_11_18_08:12:02.319,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.92 ,0.55 ,18.31 ,23.90 ,35.44
2021_11_18_08:12:02.394,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.73 ,0.55 ,19.19 ,23.29 ,34.68
2021_11_18_08:12:02.454,-0.03 ,-0.23 ,-0.98 ,-0.79 ,-0.67 ,0.67 ,19.18 ,23.06 ,34.89
2021_11_18_08:12:02.529,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-0.79 ,0.61 ,19.47 ,23.34 ,34.63
2021_11_18_08:12:02.590,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.79 ,0.55 ,18.87 ,23.49 ,35.67
2021_11_18_08:12:02.665,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.92 ,0.43 ,19.56 ,23.34 ,35.21
2021_11_18_08:12:02.754,-0.04 ,-0.23 ,-0.98 ,-0.98 ,-0.92 ,0.55 ,18.76 ,23.16 ,35.19
2021_11_18_08:12:02.844,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-0.79 ,0.61 ,18.81 ,23.57 ,34.67
2021_11_18_08:12:02.919,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.98 ,0.55 ,19.12 ,23.67 ,34.56
2021_11_18_08:12:03.009,-0.04 ,-0.23 ,-0.98 ,-0.55 ,-0.92 ,0.67 ,19.30 ,22.83 ,34.62
2021_11_18_08:12:03.069,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.79 ,0.61 ,18.97 ,23.24 ,35.21
2021_11_18_08:12:03.131,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-0.79 ,0.49 ,18.81 ,22.83 ,34.62
2021_11_18_08:12:03.249,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-0.85 ,0.61 ,18.68 ,23.41 ,35.07
2021_11_18_08:12:03.339,-0.04 ,-0.23 ,-0.98 ,-0.98 ,-0.92 ,0.49 ,18.71 ,23.99 ,34.59
2021_11_18_08:12:03.414,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.73 ,0.43 ,19.02 ,23.19 ,35.56
2021_11_18_08:12:03.489,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.98 ,0.49 ,18.41 ,24.04 ,34.64
2021_11_18_08:12:03.594,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.98 ,0.61 ,19.17 ,22.91 ,34.75
2021_11_18_08:12:03.669,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.73 ,0.61 ,18.86 ,23.45 ,35.50
2021_11_18_08:12:03.729,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-0.79 ,0.61 ,18.82 ,23.82 ,35.16
2021_11_18_08:12:03.804,-0.04 ,-0.23 ,-0.98 ,-0.92 ,-0.73 ,0.55 ,18.95 ,22.95 ,35.24
2021_11_18_08:12:03.879,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-0.85 ,0.49 ,18.84 ,22.95 ,34.69
2021_11_18_08:12:03.955,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.92 ,0.49 ,18.84 ,22.95 ,34.69
2021_11_18_08:12:04.029,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.79 ,0.49 ,18.97 ,23.49 ,34.45
