timestamp,Ax ,Ay ,Az ,Gx ,Gy ,Gz ,Mx ,My ,Mz
1638174359512,-0.05 ,-0.12 ,0.98 ,1.22 ,0.37 ,-0.31 ,-52.25 ,17.93 ,-56.58
1638174359557,-0.05 ,-0.12 ,0.98 ,1.16 ,0.49 ,-0.49 ,-52.48 ,17.85 ,-57.04
1638174359588,-0.05 ,-0.12 ,0.98 ,1.04 ,0.49 ,-0.37 ,-52.94 ,17.96 ,-57.08
1638174359617,-0.05 ,-0.12 ,0.98 ,1.04 ,0.49 ,-0.37 ,-52.94 ,17.96 ,-57.08
1638174359647,-0.05 ,-0.12 ,0.99 ,1.22 ,0.67 ,-0.31 ,-52.83 ,17.99 ,-57.26
1638174359710,-0.05 ,-0.12 ,0.99 ,1.10 ,0.55 ,-0.24 ,-52.83 ,17.99 ,-57.26
1638174359752,-0.05 ,-0.12 ,0.99 ,1.04 ,0.43 ,-0.37 ,-52.54 ,18.07 ,-56.51
1638174359782,-0.05 ,-0.12 ,0.99 ,1.16 ,0.67 ,-0.37 ,-52.65 ,17.72 ,-56.18
1638174359813,-0.05 ,-0.12 ,0.99 ,1.16 ,0.67 ,-0.37 ,-52.65 ,17.72 ,-56.18
1638174359842,-0.05 ,-0.12 ,0.99 ,1.10 ,0.49 ,-0.31 ,-52.44 ,18.07 ,-55.71
1638174359872,-0.05 ,-0.12 ,0.99 ,1.22 ,0.31 ,-0.43 ,-52.44 ,18.07 ,-55.71
1638174359917,-0.05 ,-0.12 ,0.98 ,1.16 ,0.79 ,-0.37 ,-52.45 ,18.18 ,-56.68
1638174359947,-0.05 ,-0.12 ,0.99 ,1.04 ,0.49 ,-0.43 ,-53.05 ,17.31 ,-56.67
1638174359993,-0.05 ,-0.12 ,0.99 ,1.22 ,0.43 ,-0.37 ,-53.05 ,17.31 ,-56.67
1638174360026,-0.05 ,-0.12 ,0.99 ,1.04 ,0.49 ,-0.31 ,-52.84 ,18.54 ,-55.47
1638174360068,-0.05 ,-0.12 ,0.98 ,1.10 ,0.67 ,-0.31 ,-53.20 ,17.70 ,-57.30
1638174360112,-0.05 ,-0.12 ,0.99 ,1.04 ,0.49 ,-0.31 ,-52.97 ,18.51 ,-56.64
